Ferrovia;Ano;Pátio;Código;Em Operação;Auto Assistido;Comprimento Útil de Desvio (m);Tempo Médio Licenc. (min.);Linhas de Referência
MRS;2025.0;Estação TUF;IUF;Sim;Sim;500.0;14.0;Ramal de Conceiçãozinha (km 1,860)
MRS;2025.0;Barnabé;IBA;Sim;Sim;1320.0;7.0;Ramal de Conceiçãozinha (km 8,400)
MRS;2025.0;Conceiçãozinha;ICZ;Sim;Não;1500.0;7.0;Ramal de Conceiçãozinha (km 16,360)
MRS;2025.0;Rio Grande da Serra;IRG;Sim;Sim;4604.0;15.0;Variante Rio Grande da Serra - Suzano (km 0,000), Santos - Jundiaí (km 41,109)
MRS;2025.0;Ouro Fino;IOF;Sim;Sim;1464.0;10.0;Variante Rio Grande da Serra - Suzano (km 11,000)
MRS;2025.0;Suzano;OSU;Sim;Não;500.0;10.0;Variante Rio Grande da Serra - Suzano (km 28,800), CPTM (Jacarei - Bras) (km 462,548), Ramal de Mogi das Cruzes (km 462,548)
MRS;2025.0;Santos;ISN;Sim;Não;3039.0;7.0;Santos - Jundiaí (km 0,000)
MRS;2025.0;Raiz da Serra;IRS;Sim;Sim;3747.0;7.0;Santos - Jundiaí (km 22,000)
MRS;2025.0;Paranapiacaba;IPA;Sim;Sim;6028.0;3.0;Santos - Jundiaí (km 30,312)
MRS;2025.0;Campo Grande;ICG;Sim;Sim;11110.0;7.0;Santos - Jundiaí (km 34,569)
MRS;2025.0;Posto km 44;IKQ;Não;Não;500.0;10.0;Santos - Jundiaí (km 44,000)
MRS;2025.0;Ribeirão Pires;IRP;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 45,526)
MRS;2025.0;Guapituba;OGP;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 49,889)
MRS;2025.0;Mauá;OMA;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 53,109)
MRS;2025.0;Capuava;ICP;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 56,294)
MRS;2025.0;Santo André;ISA;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 60,384)
MRS;2025.0;Prefeito Saladino;OPS;Não;Não;500.0;10.0;Santos - Jundiaí (km 62,221)
MRS;2025.0;Utinga;IUT;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 63,832)
MRS;2025.0;São Caetano do Sul;ISC;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 67,436)
MRS;2025.0;Tamanduateí;OTA;Não;Não;500.0;10.0;Santos - Jundiaí (km 70,000)
MRS;2025.0;Ipiranga;IIP;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 71,627)
MRS;2025.0;Mooca;IMO;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 74,628)
MRS;2025.0;Bras;OBR;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 76,332), CPTM (Jacarei - Bras) (km 499,153)
MRS;2025.0;Roosevelt;ORO;Não;Não;500.0;10.0;Santos - Jundiaí (km 77,000)
MRS;2025.0;Pari;IPR;Não;Não;500.0;10.0;Santos - Jundiaí (km 77,536)
MRS;2025.0;Luz;OLU;Não;Não;500.0;10.0;Santos - Jundiaí (km 78,507)
MRS;2025.0;Barra Funda;OBF;Não;Não;500.0;10.0;Santos - Jundiaí (km 82,190)
MRS;2025.0;Água Branca;IAB;Sim;Sim;500.0;10.0;CPTM (Água Branca - Mairinque) (km 6,500), Santos - Jundiaí (km 84,398)
MRS;2025.0;Lapa;ILA;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 86,062)
MRS;2025.0;Piqueri;OPQ;Não;Não;500.0;10.0;Santos - Jundiaí (km 88,223)
MRS;2025.0;Pirituba;IPB;Não;Não;500.0;10.0;Santos - Jundiaí (km 90,273)
MRS;2025.0;Vila Clarice;OVC;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 93,053)
MRS;2025.0;Jaraguá;OJA;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 95,059)
MRS;2025.0;Perus;IPE;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 101,485)
MRS;2025.0;Caieiras;OCI;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 106,176)
MRS;2025.0;Franco da Rocha;OFR;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 111,293)
MRS;2025.0;Baltazar Fidelis;OBA;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 113,670)
MRS;2025.0;Francisco Morato;OFM;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 117,460)
MRS;2025.0;Campo Limpo Paulista;OCL;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 127,935)
MRS;2025.0;Várzea Paulista;OVP;Sim;Sim;500.0;10.0;Santos - Jundiaí (km 133,910)
MRS;2025.0;Calmon Viana;OCV;Sim;Sim;500.0;10.0;CPTM (Jacarei - Bras) (km 465,240)
MRS;2025.0;Itaquaquecetuba;OIC;Sim;Sim;500.0;10.0;CPTM (Jacarei - Bras) (km 470,955)
MRS;2025.0;C.Ermelino Matarazzo;OCE;Sim;Sim;500.0;10.0;CPTM (Jacarei - Bras) (km 486,174)
MRS;2025.0;E.S.Gualberto;OSG;Sim;Sim;500.0;10.0;CPTM (Jacarei - Bras) (km 493,019)
MRS;2025.0;Eng. São Paulo;IES;Sim;Sim;500.0;10.0;CPTM (Jacarei - Bras) (km 496,555)
MRS;2025.0;Jacareí;FJI;Sim;Não;500.0;10.0;Ramal de Mogi das Cruzes (km 407,443)
MRS;2025.0;Eng. Cesar de Souza;FCE;Sim;Sim;600.0;10.0;Ramal de Mogi das Cruzes (km 444,946)
MRS;2025.0;Mogi das Cruzes;OMC;Sim;Sim;500.0;10.0;Ramal de Mogi das Cruzes (km 450,320)
MRS;2025.0;Posto Elisson;FHE;Sim;Sim;200.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 66,953)
MRS;2025.0;Mário Belo;FMB;Sim;Sim;5752.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 71,030)
MRS;2025.0;Eng. Gurgel;F39;Não;Não;1500.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 76,030)
MRS;2025.0;Palmeira da Serra;FPD;Sim;Sim;1220.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 82,030)
MRS;2025.0;Eng. Paulo de Frontin;FER;Sim;Sim;346.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 85,501)
MRS;2025.0;Humberto Antunes;FHA;Sim;Sim;200.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 89,763)
MRS;2025.0;Mendes;FME;Sim;Sim;1295.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 92,635)
MRS;2025.0;Martins Costa;FMA;Sim;Sim;299.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 97,635)
MRS;2025.0;Morsing;FMG;Sim;Sim;215.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 99,635)
MRS;2025.0;Santana da Barra;FSB;Sim;Sim;216.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 102,315)
MRS;2025.0;Aristides  Lobo;FAT;Sim;Sim;1717.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 115,592)
MRS;2025.0;Demetrio Ribeiro;FDR;Sim;Sim;1849.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 121,469)
MRS;2025.0;Barão de Juparana;FBJ;Sim;Sim;1709.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 132,153)
MRS;2025.0;Sebastião Lacerda;FBL;Sim;Sim;1681.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 146,815)
MRS;2025.0;Aliança;FAI;Sim;Sim;2220.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 153,910)
MRS;2025.0;Casal Novo;FNC;Sim;Sim;1816.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 162,225)
MRS;2025.0;Andrade Pinto;FAP;Sim;Sim;1712.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 170,232)
MRS;2025.0;eng. Vieira Cortez;FVC;Sim;Sim;1744.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 177,770)
