Ferrovia;Ano;Pátio de Referência;Terminal;Mercadoria;Capacidade_Vg/dia;Capacidade_TU/dia;Nº Horas Func. Dia;Tempo Médio de Carga_Vg/h;Tempo Médio de Carga_TU/h;Tempo Médio de Descarga_Vg/h;Tempo Médio de Descarga_TU/h
MRS;2025.0;Piaçaguera (IPG, MRS);ICO;Prd.Siderúrgicos - Outros;63.0;3969.0;24.0;2.6;165.4;2.6;165.4
MRS;2025.0;Pinheirinho (FPI, MRS);FJS;Prd.Siderúrgicos - Outros;7.0;497.0;16.0;0.4;31.1;0.4;31.1
MRS;2025.0;Porto Sudeste (FOP, MRS);FOX;Minério de Ferro;824.0;50961.0;24.0;34.3;2123.4;34.3;2123.4
MRS;2025.0;Porto Sudeste (FOP, MRS);FXO;Carvão;80.0;3440.0;24.0;3.3;143.3;3.3;143.3
MRS;2025.0;Pulverizacao (FPU, MRS);FPW;Prd.Siderúrgicos - Outros;5.0;365.0;9.0;0.6;40.6;0.6;40.6
MRS;2025.0;Santo André (ISA, MRS);IAS;Cimento a Granel;30.0;1860.0;24.0;1.3;77.5;1.3;77.5
MRS;2025.0;Santo André (ISA, MRS);IBS;Areia;10.0;670.0;10.0;1.0;67.0;1.0;67.0
MRS;2025.0;Santos (ISN, MRS);ADM;Grãos - Milho;96.0;7680.0;24.0;4.0;320.0;4.0;320.0
MRS;2025.0;Santos (ISN, MRS);ICE;Açúcar;80.0;6720.0;24.0;3.3;280.0;3.3;280.0
MRS;2025.0;Santos (ISN, MRS);ICH;Açúcar;160.0;13440.0;24.0;6.7;560.0;6.7;560.0
MRS;2025.0;Santos (ISN, MRS);ICJ;Soja;190.0;14630.0;24.0;7.9;609.6;7.9;609.6
MRS;2025.0;Santos (ISN, MRS);ICJ;Grãos - Milho;96.0;7680.0;24.0;4.0;320.0;4.0;320.0
MRS;2025.0;Santos (ISN, MRS);ICV;Contêiner Cheio/Vazio;26.0;2158.0;24.0;1.1;89.9;1.1;89.9
MRS;2025.0;Santos (ISN, MRS);IGC;Grãos - Milho;96.0;7680.0;24.0;4.0;320.0;4.0;320.0
MRS;2025.0;Santos (ISN, MRS);ISB;Celulose;90.0;6480.0;24.0;3.8;270.0;3.8;270.0
MRS;2025.0;Santos (ISN, MRS);ITD;Contêiner Cheio/Vazio;26.0;2158.0;24.0;1.1;89.9;1.1;89.9
MRS;2025.0;São Bento (FST, MRS);FTS;Areia;25.0;2070.0;9.0;2.8;230.0;2.8;230.0
MRS;2025.0;São Bento (FST, MRS);FTS;Prd.Siderúrgicos - Outros;25.0;1675.0;22.0;1.1;76.1;1.1;76.1
MRS;2025.0;São Bento (FST, MRS);FTS;Ferro Gusa;18.0;1494.0;9.0;2.0;166.0;2.0;166.0
MRS;2025.0;São Bento (FST, MRS);FUP;Cimento a Granel;25.0;1900.0;16.0;1.6;118.8;1.6;118.8
MRS;2025.0;São Bento (FST, MRS);FUP;Escória;25.0;1875.0;16.0;1.6;117.2;1.6;117.2
MRS;2025.0;São Caetano do Sul (ISC, MRS);IFB;Prd.Siderúrgicos - Outros;9.0;486.0;10.0;0.9;48.6;0.9;48.6
MRS;2025.0;São Caetano do Sul (ISC, MRS);IPO;Prd.Siderúrgicos - Outros;9.0;486.0;10.0;0.9;48.6;0.9;48.6
MRS;2025.0;São José dos Campos (FSJ, MRS);FHY;Cimento acondicionado;11.0;880.0;16.0;0.7;55.0;0.7;55.0
MRS;2025.0;Saudade (FSE, MRS);FTB;Prd.Siderúrgicos - Outros;15.0;1020.0;3.0;5.0;340.0;5.0;340.0
MRS;2025.0;Siderúrgica do Atlântico (HSG, MRS);FXB;Escória;11.0;605.0;24.0;0.5;25.2;0.5;25.2
MRS;2025.0;Siderúrgica do Atlântico (HSG, MRS);FXC;Prd.Siderúrgicos - Outros;63.0;4788.0;24.0;2.6;199.5;2.6;199.5
MRS;2025.0;Siderúrgica do Atlântico (HSG, MRS);FXC;Coque;11.0;605.0;24.0;0.5;25.2;0.5;25.2
MRS;2025.0;Siderúrgica do Atlântico (HSG, MRS);FXM;Minério de Ferro;290.0;23120.0;24.0;12.1;963.3;12.1;963.3
MRS;2025.0;Suzano Novo (ISU, MRS);ILB;Minério de Ferro;90.0;8550.0;24.0;3.8;356.3;3.8;356.3
MRS;2025.0;Suzano Novo (ISU, MRS);ILB;Magnetita;26.0;2054.0;10.0;2.6;205.4;2.6;205.4
