Ferrovia;Ano;Linha;Perfil Trilho_Perfil;Perfil Trilho_Faixa km;Fixação_Tipo;Fixação_Faixa km;Dormente_Tipo;Dormente_Faixa km;Taxa de Dormentação_Taxa (dorm/km);Taxa de Dormentação_Faixa km;Gabarito Horizontal_Gabarito (m);Gabarito Horizontal_Faixa km;Gabarito Vertical_Gabarito (m);Gabarito Vertical_Faixa km;VMA Trem Carregado_VMA (km/h);VMA Trem Carregado_Faixa km;VMA Trem Vazio_VMA (km/h);VMA Trem Vazio_Faixa km;VMA Produto Perigoso_VMA (km/h);VMA Produto Perigoso_Faixa km;VMC Trem Carregado_VMC (km/h);VMC Trem Carregado_Faixa km;VMC Trem Vazio_VMC (km/h);VMC Trem Vazio_Faixa km;VMC Produto Perigoso_VMC (km/h);VMC Produto Perigoso_Faixa km;Carga Máx. por Eixo_Carga (t);Carga Máx. por Eixo_Faixa km
MRS;2025.0;Ramal de Conceiçãozinha;TR 57;0,000 à 16,360;Ríg/Flex;0,000 à 16,360;Madeira;0,000 à 16,360;1850.0;0,000 à 16,360;3.3;0,000 à 16,360;4.3;0,000 à 16,360;40.0;0,000 à 10,000;20.0;0,000 à 11,800;20.0;0,000 à 11,800;11.0;0,000 à 16,360;11.0;0,000 à 16,360;12.0;0,000 à 16,360;32.0;0,000 à 16,360
MRS;2025.0;Brisamar - Sepetiba;TR 68;0,000 à 5,000;Flexível;0,000 à 5,000;Madeira;0,000 à 5,000;1850.0;0,000 à 5,000;3.3;0,000 à 5,000;4.3;0,000 à 5,000;10.0;0,000 à 5,000;10.0;0,000 à 5,000;10.0;0,000 à 5,000;22.0;0,000 à 5,000;25.0;0,000 à 5,000;0.0;0,000 à 5,000;36.0;0,000 à 5,000
MRS;2025.0;Ramal das Fábricas;TR 57;15,000 à 21,000;Rígida;15,000 à 21,000;Madeira;15,000 à 21,000;1850.0;15,000 à 21,000;3.3;15,000 à 21,000;4.3;15,000 à 21,000;20.0;15,000 à 21,000;20.0;15,000 à 21,000;20.0;15,000 à 21,000;5.0;15,000 à 21,000;0.0;15,000 à 21,000;0.0;15,000 à 21,000;32.0;15,000 à 21,000
MRS;2025.0;Ramal da Cosigua;TR 57;0,000 à 16,000;Rígida;0,000 à 16,000;Madeira;0,000 à 16,000;1850.0;0,000 à 16,000;3.3;0,000 à 16,000;4.3;0,000 à 16,000;20.0;0,000 à 16,000;20.0;0,000 à 16,000;20.0;0,000 à 16,000;14.0;0,000 à 16,000;26.0;0,000 à 16,000;0.0;0,000 à 16,000;32.0;0,000 à 16,000
MRS;2025.0;Ramal Córrego do Feijão;TR 68;574,000 à 581,000;Flexível;574,000 à 581,000;Madeira;574,000 à 581,000;1850.0;574,000 à 581,000;3.3;574,000 à 581,000;4.3;574,000 à 581,000;30.0;574,000 à 581,000;30.0;574,000 à 581,000;30.0;574,000 à 581,000;0.0;574,000 à 581,000;0.0;574,000 à 581,000;0.0;574,000 à 581,000;32.0;574,000 à 581,000
MRS;2025.0;Ligação Jeceaba - P1-07;TR 68;292,989 à 304,885;Flexível;292,989 à 304,885;Madeira;292,989 à 304,885;1850.0;292,989 à 304,885;3.3;292,989 à 304,885;4.3;292,989 à 304,885;50.0;292,989 à 304,885;64.0;292,989 à 304,885;40.0;292,989 à 304,885;22.0;292,989 à 304,885;17.0;292,989 à 304,885;28.0;292,989 à 304,885;32.0;292,989 à 304,885
MRS;2025.0;Ligação Caetano Lopes - Alça Dupla;TR 68;300,216 à 307,673;Flexível;300,216 à 307,673;Madeira;300,216 à 307,673;1850.0;300,216 à 307,673;3.3;300,216 à 307,673;4.3;300,216 à 307,673;50.0;300,216 à 307,673;64.0;300,216 à 307,673;40.0;300,216 à 307,673;15.0;300,216 à 307,673;28.0;300,216 à 307,673;0.0;300,216 à 307,673;32.0;300,216 à 307,673
MRS;2025.0;Posto km 452 - Miguel Burnier (Linha do Centro);TR 68;440,000 à 477,852;Flexível;440,000 à 477,852;Madeira;440,000 à 477,852;1850.0;440,000 à 477,852;3.3;440,000 à 496,980;4.3;440,000 à 496,980;50.0;440,000 à 477,852;64.0;440,000 à 477,852;40.0;440,000 à 477,852;23.0;440,000 à 496,980;28.0;440,000 à 496,980;0.0;440,000 à 496,980;32.0;440,000 à 477,852
MRS;2025.0;Posto km 452 - Miguel Burnier (Linha do Centro);TR 57;477,852 à 496,980;Rígida;477,852 à 496,980;Madeira;477,852 à 496,980;1850.0;477,852 à 496,980;0.0;;0.0;;25.0;477,852 à 496,980;25.0;477,852 à 496,980;20.0;477,852 à 496,980;;;;;;;32.0;477,852 à 496,980
MRS;2025.0;Ligação Alça Dupla - Posto Alfa;TR 68;299,509 à 300,216;Ríg/Flex;299,509 à 300,216;Madeira;299,509 à 300,216;1850.0;299,509 à 300,216;2.0;299,509 à 300,216;2.0;299,509 à 300,216;50.0;299,509 à 300,216;64.0;299,509 à 300,216;40.0;299,509 à 300,216;0.0;299,509 à 300,216;26.0;299,509 à 300,216;0.0;299,509 à 300,216;32.0;299,509 à 300,216
